"sales.transaction.id","number.of.boxes.sold"
"001-SALES",5
"003-SALES",2
"004-SALES",7
"007-SALES",7
"009-SALES",1
"010-SALES",1
"011-SALES",3
"012-SALES",6
"013-SALES",4
"014-SALES",6
"015-SALES",3
"018-SALES",3
"021-SALES",6
"022-SALES",2
"023-SALES",6
"028-SALES",2
"030-SALES",1
"031-SALES",4
"032-SALES",3
"040-SALES",5
"043-SALES",1
"044-SALES",4
"046-SALES",4
"047-SALES",5
"048-SALES",3
"049-SALES",5
"051-SALES",3
"058-SALES",3
"059-SALES",3
"063-SALES",8
"064-SALES",7
"065-SALES",7
"070-SALES",4
"071-SALES",5
"072-SALES",4
"073-SALES",4
"076-SALES",3
"077-SALES",4
"080-SALES",2
"083-SALES",3
"085-SALES",1
"090-SALES",2
"092-SALES",1
"097-SALES",5
"101-SALES",3
"102-SALES",8
"107-SALES",3
"109-SALES",5
"110-SALES",1
"111-SALES",5
"115-SALES",8
"116-SALES",5
"118-SALES",3
"119-SALES",6
"122-SALES",6
"123-SALES",5
"127-SALES",5
"128-SALES",5
"130-SALES",3
"131-SALES",1
"135-SALES",1
"139-SALES",7
"141-SALES",6
"143-SALES",2
"146-SALES",2
"147-SALES",1
"148-SALES",2
"154-SALES",1
"155-SALES",7
"156-SALES",6
"163-SALES",2
"164-SALES",3
"169-SALES",1
"170-SALES",5
"172-SALES",8
"173-SALES",3
"179-SALES",3
"181-SALES",1
"185-SALES",2
"187-SALES",5
"188-SALES",4
"190-SALES",8
"191-SALES",1
"193-SALES",3
"196-SALES",4
"198-SALES",3
"200-SALES",3
"204-SALES",5
"211-SALES",3
"213-SALES",2
"216-SALES",5
"218-SALES",8
"219-SALES",7
"220-SALES",5
"221-SALES",7
"224-SALES",3
"225-SALES",3
"227-SALES",4
"228-SALES",5
"229-SALES",1
"233-SALES",3
"236-SALES",2
"237-SALES",8
"241-SALES",4
"243-SALES",4
"245-SALES",5
"249-SALES",3
"250-SALES",8
"251-SALES",8
"253-SALES",3
"255-SALES",5
"257-SALES",3
"259-SALES",6
"261-SALES",4
"262-SALES",6
"263-SALES",3
"266-SALES",5
"269-SALES",8
"270-SALES",8
"271-SALES",8
"272-SALES",1
"273-SALES",6
"275-SALES",3
"279-SALES",3
"281-SALES",4
"282-SALES",1
"287-SALES",2
"290-SALES",3
"293-SALES",4
"299-SALES",2
